排行類型,名次,名稱,代號,股價,漲跌,漲跌幅(%),最高,最低,成交量(千股),成交金額(億日圓)
成交量排行,1,ランド,89180,10.0,0.0,0.00%,11.0,10.0,298690,29.8691
成交量排行,2,ＮＴＴ,94320,144.3,0.5,0.35%,144.4,142.6,206488,297.9623
成交量排行,3,ジャパンディスプレイ,67400,60.0,5.0,9.09%,61.0,54.0,82725,49.6354
成交量排行,4,ソニーフィナンシャルグループ,87290,135.9,-1.6,-1.16%,137.1,134.5,77901,105.8683
成交量排行,5,サンリオ,81360,1092.0,86.5,8.60%,1102.5,996.0,77654,847.9915
成交量排行,6,ソフトバンク,94340,204.7,1.4,0.69%,205.7,202.6,76751,157.1103
成交量排行,7,ソフトバンクグループ,99840,6226.0,-892.0,-12.53%,6489.0,6114.0,71837,4472.5965
成交量排行,8,フジクラ,58030,6131.0,-305.0,-4.74%,6579.0,6066.0,61307,3758.7383
成交量排行,9,東京電力ホールディングス,95010,456.6,-24.6,-5.11%,477.2,450.9,46173,210.8287
成交量排行,10,日産自動車,72010,300.0,-2.0,-0.66%,301.2,290.8,44198,132.5949
成交量排行,11,キオクシアホールディングス,285A0,92180.0,-11670.0,-11.24%,102000.0,89600.0,43906,40473.1039
成交量排行,12,ＪＸ金属,50160,4553.0,-334.0,-6.83%,4866.0,4481.0,35105,1598.3534
成交量排行,13,メタプラネット,33500,197.0,-23.0,-10.45%,210.0,195.0,34900,68.7542
成交量排行,14,トヨタ自動車,72030,2768.0,67.5,2.50%,2768.0,2696.5,32537,900.6297
成交量排行,15,ルネサスエレクトロニクス,67230,4800.0,-44.0,-0.91%,5259.0,4800.0,31839,1528.296
成交量排行,16,三菱ＵＦＪフィナンシャル・グループ,83060,3245.0,12.0,0.37%,3285.0,3220.0,27483,891.8234
成交量排行,17,日本製鉄,54010,543.3,-3.7,-0.68%,546.0,539.5,24184,131.3928
成交量排行,18,エルアイイーエイチ,58560,1.0,-2.0,-66.67%,2.0,1.0,23521,0.2352
成交量排行,19,村田製作所,69810,10770.0,-1055.0,-8.92%,11550.0,10580.0,21939,2362.8949
成交量排行,20,太陽誘電,69760,16780.0,-2040.0,-10.84%,18020.0,15500.0,19830,3327.5411
成交量排行,21,ソニーグループ,67580,3199.0,2.0,0.06%,3199.0,3120.0,19829,634.3521
成交量排行,22,ＴＤＫ,67620,3575.0,-333.0,-8.52%,3831.0,3535.0,18063,645.7844
成交量排行,23,三菱重工業,70110,3567.0,-51.0,-1.41%,3639.0,3536.0,16993,606.1403
成交量排行,24,三井不動産,88010,1480.0,5.0,0.34%,1480.0,1430.0,16359,242.1132
成交量排行,25,本田技研工業,72670,1449.5,35.5,2.51%,1449.5,1415.0,16150,234.0957
成交量排行,26,楽天グループ,47550,690.2,-8.9,-1.27%,702.5,686.2,15121,104.3679
成交量排行,27,パナソニック　ホールディングス,67520,4540.0,-70.0,-1.52%,4693.0,4451.0,14190,644.2351
成交量排行,28,ＳＵＭＣＯ,34360,3818.0,24.0,0.63%,3967.0,3649.0,13973,533.512
成交量排行,29,日立製作所,65010,4478.0,-76.0,-1.67%,4547.0,4478.0,13899,622.4286
成交量排行,30,ＬＩＮＥヤフー,46890,410.0,0.3,0.07%,412.4,408.3,13475,55.2495
成交量排行,31,任天堂,79740,6589.0,-270.0,-3.94%,6711.0,6544.0,13176,868.1666
成交量排行,32,スズキ,72690,1963.5,27.0,1.39%,1973.5,1928.0,12537,246.1797
成交量排行,33,伊藤忠商事,80010,1833.5,19.5,1.07%,1833.5,1812.0,12198,223.6577
成交量排行,34,パン・パシフィック・インターナショナルホールディングス,75320,823.0,2.3,0.28%,828.0,815.4,11977,98.574
成交量排行,35,川崎重工業,70120,2836.0,-105.5,-3.59%,2921.0,2791.0,11927,338.2611
成交量排行,36,住友化学,40050,509.3,-11.3,-2.17%,520.0,502.0,11432,58.2252
成交量排行,37,三井住友フィナンシャルグループ,83160,6391.0,51.0,0.80%,6415.0,6311.0,11097,709.2284
成交量排行,38,アドバンテスト,68570,32440.0,-3460.0,-9.64%,35350.0,31720.0,11040,3581.4084
成交量排行,39,野村ホールディングス,86040,1423.5,10.0,0.71%,1464.5,1415.5,10827,154.1295
成交量排行,40,ＩＨＩ,70130,2672.5,-46.5,-1.71%,2717.5,2639.5,10656,284.7816
成交量排行,41,イビデン,40620,24000.0,-2370.0,-8.99%,26805.0,23975.0,10358,2486.016
成交量排行,42,三菱自動車工業,72110,313.8,4.4,1.42%,313.8,305.0,10265,32.2141
成交量排行,43,三菱商事,80580,4403.0,3.0,0.07%,4464.0,4363.0,9415,414.5733
成交量排行,44,信越化学工業,40630,6835.0,-315.0,-4.41%,7055.0,6835.0,8927,610.1946
成交量排行,45,ソシオネクスト,65260,2519.5,-178.0,-6.60%,2632.0,2465.0,8872,223.5351
成交量排行,46,第一ライフグループ,87500,1726.5,21.0,1.23%,1737.5,1708.5,8833,152.5156
成交量排行,47,岡本硝子,77460,850.0,86.0,11.26%,908.0,758.0,8558,72.7464
成交量排行,48,ＫＤＤＩ,94330,2681.0,12.5,0.47%,2697.0,2626.0,8524,228.5392
成交量排行,49,日本たばこ産業,29140,6072.0,124.0,2.08%,6089.0,5946.0,8185,497.0236
成交量排行,50,スカパーＪＳＡＴ,94120,2485.0,-107.0,-4.13%,2528.0,2431.0,7888,196.0392
成交量排行,51,みずほフィナンシャルグループ,84110,7794.0,69.0,0.89%,7833.0,7679.0,7865,613.0605
成交量排行,52,ヤマハ発動機,72720,1260.0,17.5,1.41%,1260.0,1238.0,7794,98.2145
成交量排行,53,すかいらーくホールディングス,31970,2769.0,-39.0,-1.39%,2831.5,2764.0,7624,211.1279
成交量排行,54,三井物産,80310,4508.0,62.0,1.39%,4560.0,4460.0,7158,322.7097
成交量排行,55,メディアリンクス,66590,65.0,-10.0,-13.33%,70.0,64.0,6962,4.5256
成交量排行,56,りそなホールディングス,83080,2102.0,-5.0,-0.24%,2146.0,2078.5,6949,146.0806
成交量排行,57,アサヒグループホールディングス,25020,1563.0,23.0,1.49%,1563.5,1542.0,6916,108.0986
成交量排行,58,ゆうちょ銀行,71820,3069.0,19.0,0.62%,3092.0,3046.0,6799,208.6644
成交量排行,59,地盤ネットホールディングス,60720,969.0,-209.0,-17.74%,1167.0,903.0,6661,64.549
成交量排行,60,ＡＲＣＨＩＯＮ,543A0,278.0,-4.0,-1.42%,287.0,277.0,6590,18.3213
成交量排行,61,京セラ,69710,3411.0,-147.0,-4.13%,3541.0,3387.0,6513,222.1857
成交量排行,62,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,65250,9980.0,-170.0,-1.67%,10265.0,9719.0,6479,646.6341
成交量排行,63,デンソー,69020,1875.0,14.5,0.78%,1881.0,1858.0,6364,119.3381
成交量排行,64,ＥＮＥＯＳホールディングス,50200,1214.5,23.5,1.97%,1214.5,1190.0,6329,76.8742
成交量排行,65,日本電気,67010,3795.0,38.0,1.01%,3818.0,3682.0,6287,238.603
成交量排行,66,住友電気工業,58020,11935.0,-305.0,-2.49%,12595.0,11805.0,6276,749.1241
成交量排行,67,ファナック,69540,7026.0,-331.0,-4.50%,7350.0,6995.0,6268,440.4108
成交量排行,68,アステラス製薬,45030,2145.0,-2.0,-0.09%,2157.5,2128.0,6216,133.3504
成交量排行,69,東京海上ホールディングス,87660,6903.0,53.0,0.77%,6948.0,6798.0,6194,427.6201
成交量排行,70,ＭＳ＆ＡＤインシュアランスグループホールディングス,87250,4241.0,-11.0,-0.26%,4292.0,4210.0,6194,262.7215
成交量排行,71,イオン,82670,1306.5,6.5,0.50%,1312.5,1287.0,6141,80.2439
成交量排行,72,富士通,67020,3199.0,12.0,0.38%,3205.0,3144.0,5909,189.0353
成交量排行,73,ＩＮＰＥＸ,16050,3351.0,64.0,1.95%,3351.0,3296.0,5818,194.988
成交量排行,74,三菱ケミカルグループ,41880,1094.5,-0.5,-0.05%,1110.0,1071.0,5538,60.62
成交量排行,75,ニデック,65940,2543.0,-111.0,-4.18%,2677.0,2533.0,5527,140.5745
成交量排行,76,ローム,69630,5342.0,-318.0,-5.62%,5699.0,5262.0,5474,292.4531
成交量排行,77,ユニ・チャーム,81130,948.1,13.5,1.44%,951.9,934.1,5463,51.8023
成交量排行,78,ＪＦＥホールディングス,54110,1547.5,1.5,0.10%,1558.5,1535.0,5388,83.3808
成交量排行,79,マツダ,72610,1099.0,7.0,0.64%,1099.0,1076.0,5325,58.5283
成交量排行,80,パーソルホールディングス,21810,243.1,2.5,1.04%,244.5,239.9,5315,12.9227
成交量排行,81,丸紅,80020,4692.0,85.0,1.85%,4768.0,4612.0,5292,248.3241
成交量排行,82,住友林業,19110,1375.0,27.5,2.04%,1383.0,1349.0,5234,71.9702
成交量排行,83,日本郵政,61780,2161.0,-22.5,-1.03%,2199.5,2148.0,5143,111.1446
成交量排行,84,富士フイルムホールディングス,49010,3436.0,23.0,0.67%,3469.0,3397.0,5047,173.4184
成交量排行,85,アシックス,79360,4456.0,-68.0,-1.50%,4488.0,4339.0,5017,223.5976
成交量排行,86,テルモ,45430,2212.0,18.5,0.84%,2236.5,2186.5,4963,109.797
成交量排行,87,安川電機,65060,6810.0,-413.0,-5.72%,7347.0,6710.0,4960,337.7896
成交量排行,88,三菱電機,65030,5858.0,-128.0,-2.14%,5942.0,5790.0,4893,286.6612
成交量排行,89,ＳＢＩホールディングス,84730,2696.5,-41.0,-1.50%,2760.0,2674.0,4859,131.0337
成交量排行,90,三菱地所,88020,4101.0,117.0,2.94%,4101.0,3932.0,4828,197.9963
成交量排行,91,小松製作所,63010,6329.0,79.0,1.26%,6389.0,6236.0,4736,299.7604
成交量排行,92,シャープ,67530,606.2,5.2,0.87%,609.0,587.0,4674,28.338
成交量排行,93,キヤノン,77510,4258.0,0.0,0.00%,4274.0,4216.0,4659,198.4058
成交量排行,94,ＳＨＩＦＴ,36970,617.0,3.0,0.49%,620.8,609.2,4658,28.7436
成交量排行,95,セブン＆アイ・ホールディングス,33820,1903.5,-7.0,-0.37%,1927.0,1885.5,4593,87.443
成交量排行,96,味の素,28020,5721.0,-21.0,-0.37%,5890.0,5657.0,4592,262.7541
成交量排行,97,デクセリアルズ,49800,4407.0,-614.0,-12.23%,4866.0,4354.0,4572,201.5057
成交量排行,98,オリンパス,77330,1684.0,48.5,2.97%,1691.0,1631.5,4537,76.4031
成交量排行,99,中部電力,95020,2999.5,-37.5,-1.23%,3055.0,2960.0,4536,136.0603
成交量排行,100,東京エレクトロン,80350,72920.0,-2420.0,-3.21%,74430.0,71120.0,4533,3305.6094
漲幅排行,1,セレス,36960,2039.0,340.0,20.01%,2095.0,1972.0,1383,28.2075
漲幅排行,2,伊勢化学工業,41070,4385.0,700.0,19.00%,4385.0,3935.0,467,20.4779
漲幅排行,3,宮越ホールディングス,66200,860.0,103.0,13.61%,907.0,760.0,1613,13.8735
漲幅排行,4,テクニスコ,29620,1888.0,219.0,13.12%,2022.0,1590.0,2603,49.1465
漲幅排行,5,アール・エス・シー,46640,1191.0,131.0,12.36%,1315.0,1064.0,1677,19.9814
漲幅排行,6,岡本硝子,77460,850.0,86.0,11.26%,908.0,758.0,8558,72.7464
漲幅排行,7,ブイキューブ,36810,10.0,1.0,11.11%,10.0,9.0,731,0.0732
漲幅排行,8,イー・ロジット,93270,215.0,21.0,10.82%,225.0,195.0,167,0.361
漲幅排行,9,ジャパンディスプレイ,67400,60.0,5.0,9.09%,61.0,54.0,82725,49.6354
漲幅排行,10,ニチリョク,75780,75.0,6.0,8.70%,90.0,73.0,3078,2.3092
漲幅排行,11,松屋,82370,1785.0,142.0,8.64%,1804.0,1627.0,708,12.6378
漲幅排行,12,サンリオ,81360,1092.0,86.5,8.60%,1102.5,996.0,77654,847.9915
漲幅排行,13,東京機械製作所,63350,683.0,52.0,8.24%,683.0,601.0,220,1.5046
漲幅排行,14,北野建設,18660,1080.0,81.0,8.11%,1087.0,1000.0,61,0.6642
漲幅排行,15,ＧＭＯペイメントゲートウェイ,37690,8904.0,627.0,7.58%,9047.0,8681.0,573,51.1001
漲幅排行,16,日本抵抗器製作所,69770,1525.0,105.0,7.39%,1544.0,1362.0,31,0.4834
漲幅排行,17,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,33580,91.0,6.0,7.06%,94.0,85.0,678,0.6175
漲幅排行,18,まぐまぐ,40590,407.0,26.0,6.82%,414.0,390.0,8,0.033
漲幅排行,19,前澤化成工業,79250,1926.0,111.0,6.12%,1951.0,1782.0,91,1.7623
漲幅排行,20,ウインテスト,67210,87.0,5.0,6.10%,89.0,82.0,945,0.8222
漲幅排行,21,阪和興業,80780,1775.0,101.0,6.03%,1845.0,1747.0,1388,24.6476
漲幅排行,22,ワイヤレスゲート,94190,309.0,17.0,5.82%,309.0,291.0,38,0.118
漲幅排行,23,ダイニチ工業,59510,1192.0,63.0,5.58%,1192.0,1126.0,36,0.4315
漲幅排行,24,チエル,39330,458.0,24.0,5.53%,513.0,449.0,139,0.6398
漲幅排行,25,ブイ・テクノロジー,77170,9380.0,470.0,5.27%,10180.0,8610.0,1832,171.9166
漲幅排行,26,ロードスターキャピタル,34820,2946.0,139.0,4.95%,2966.0,2800.0,443,13.0655
漲幅排行,27,花王,44520,6544.0,303.0,4.85%,6584.0,6390.0,3496,228.8044
漲幅排行,28,ＳＧホールディングス,91430,1560.5,71.0,4.77%,1560.5,1525.0,1974,30.8168
漲幅排行,29,日本酸素ホールディングス,40910,5938.0,265.0,4.67%,5975.0,5838.0,753,44.7428
漲幅排行,30,レイ,43170,473.0,21.0,4.65%,479.0,465.0,48,0.2304
漲幅排行,31,福井銀行,83620,5440.0,240.0,4.62%,5450.0,5210.0,72,3.9277
漲幅排行,32,アトム,74120,387.0,17.0,4.59%,392.0,361.0,1113,4.3073
漲幅排行,33,大盛工業,18440,483.0,21.0,4.55%,485.0,467.0,110,0.5337
漲幅排行,34,テレビ東京ホールディングス,94130,3620.0,150.0,4.32%,3620.0,3465.0,184,6.6898
漲幅排行,35,フォーサイド,23300,73.0,3.0,4.29%,85.0,70.0,1949,1.4229
漲幅排行,36,エンカレッジ・テクノロジ,36820,609.0,25.0,4.28%,636.0,584.0,10,0.0658
漲幅排行,37,東洋水産,28750,10245.0,412.0,4.19%,10255.0,9849.0,689,70.6393
漲幅排行,38,ミツバ,72800,1160.0,46.0,4.13%,1167.0,1116.0,342,3.973
漲幅排行,39,三谷セキサン,52730,1526.0,60.0,4.09%,1534.0,1477.0,62,0.9461
漲幅排行,40,コックス,98760,230.0,9.0,4.07%,240.0,226.0,117,0.2709
漲幅排行,41,ＲＩＳＥ,88360,26.0,1.0,4.00%,26.0,25.0,69,0.0181
漲幅排行,42,バリオセキュア,44940,680.0,26.0,3.98%,685.0,652.0,17,0.1156
漲幅排行,43,バリューＨＲ,60780,1467.0,56.0,3.97%,1467.0,1410.0,25,0.3726
漲幅排行,44,ビーブレイクシステムズ,39860,550.0,21.0,3.97%,550.0,525.0,37,0.2074
漲幅排行,45,ナガホリ,81390,2093.0,78.0,3.87%,2200.0,1955.0,47,1.0005
漲幅排行,46,ＳＲＡホールディングス,38170,4445.0,165.0,3.86%,4445.0,4280.0,49,2.2092
漲幅排行,47,ピアラ,70440,573.0,21.0,3.80%,573.0,548.0,69,0.4
漲幅排行,48,丸一鋼管,54630,1710.0,62.5,3.79%,1733.0,1679.5,966,16.5203
漲幅排行,49,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,79210,3175.0,115.0,3.76%,3180.0,3075.0,31,1.0096
漲幅排行,50,アンドエスティＨＤ,26850,3460.0,125.0,3.75%,3460.0,3305.0,287,9.9544
漲幅排行,51,アニコム　ホールディングス,87150,1219.0,43.0,3.66%,1220.0,1171.0,388,4.737
